Timestamp,Event_Type,Key_Button,X,Y,Action
1770558085.3387012,Mouse,Move,1008,364,Move
1770558085.339796,Mouse,Move,1003,361,Move
1770558085.3407362,Mouse,Move,998,359,Move
1770558085.3417482,Mouse,Move,995,357,Move
1770558085.3427687,Mouse,Move,989,354,Move
1770558085.3437696,Mouse,Move,985,352,Move
1770558085.3447325,Mouse,Move,981,350,Move
1770558085.3457496,Mouse,Move,975,347,Move
1770558085.3467298,Mouse,Move,971,345,Move
1770558085.347758,Mouse,Move,967,343,Move
1770558085.3487265,Mouse,Move,964,341,Move
1770558085.3497398,Mouse,Move,958,337,Move
1770558085.3507247,Mouse,Move,955,336,Move
1770558085.351713,Mouse,Move,950,334,Move
1770558085.3527622,Mouse,Move,946,331,Move
1770558085.3537312,Mouse,Move,943,330,Move
1770558085.3547454,Mouse,Move,938,327,Move
1770558085.3557382,Mouse,Move,935,325,Move
1770558085.3567803,Mouse,Move,931,324,Move
1770558085.3577697,Mouse,Move,928,322,Move
1770558085.3587031,Mouse,Move,923,318,Move
1770558085.359724,Mouse,Move,920,316,Move
1770558085.3607237,Mouse,Move,915,315,Move
1770558085.3617332,Mouse,Move,913,312,Move
1770558085.362721,Mouse,Move,908,310,Move
1770558085.3637235,Mouse,Move,905,309,Move
1770558085.364722,Mouse,Move,902,306,Move
1770558085.3657281,Mouse,Move,899,304,Move
1770558085.3667424,Mouse,Move,896,302,Move
1770558085.3677092,Mouse,Move,893,301,Move
1770558085.3687375,Mouse,Move,890,299,Move
1770558085.3697436,Mouse,Move,886,296,Move
1770558085.3707333,Mouse,Move,883,295,Move
1770558085.371739,Mouse,Move,881,293,Move
1770558085.372774,Mouse,Move,878,292,Move
1770558085.373724,Mouse,Move,875,289,Move
1770558085.3747258,Mouse,Move,873,288,Move
1770558085.3757105,Mouse,Move,870,286,Move
1770558085.3766937,Mouse,Move,867,284,Move
1770558085.3781836,Mouse,Move,865,283,Move
1770558085.3787184,Mouse,Move,862,281,Move
1770558085.3797317,Mouse,Move,860,279,Move
1770558085.3807585,Mouse,Move,857,277,Move
1770558085.3817441,Mouse,Move,855,275,Move
1770558085.3827474,Mouse,Move,852,274,Move
1770558085.3839126,Mouse,Move,850,272,Move
1770558085.3847466,Mouse,Move,848,271,Move
1770558085.3857222,Mouse,Move,846,268,Move
1770558085.3867526,Mouse,Move,844,267,Move
1770558085.3877344,Mouse,Move,841,265,Move
1770558085.3887563,Mouse,Move,839,263,Move
1770558085.3897316,Mouse,Move,838,262,Move
1770558085.39073,Mouse,Move,834,259,Move
1770558085.3917718,Mouse,Move,833,258,Move
1770558085.3927135,Mouse,Move,831,256,Move
1770558085.3937016,Mouse,Move,829,255,Move
1770558085.3947077,Mouse,Move,827,253,Move
